Location,Date,Division,Grade,Pounds,Tons,Units,Check_Num,Receipt,Invoice,Notes,Filename
Fort Gillem,3/23/2017,11,[ 935 ]  FREIGHT OUT CHARGEBACK,0,0,,164131,137287,AU03178772,,baled_pmt_detail/Caraustar/011 Caraustar/done/Caraustar Ft Gillem 4 30 17 payment.xls
Fort Gillem,3/23/2017,11,[ 935 ]  FREIGHT OUT CHARGEBACK,0,0,,164131,137288,AU03178774,,baled_pmt_detail/Caraustar/011 Caraustar/done/Caraustar Ft Gillem 4 30 17 payment.xls
Fort Gillem,3/23/2017,11,[ 935 ]  FREIGHT OUT CHARGEBACK,0,0,,164131,137289,AU03178775,,baled_pmt_detail/Caraustar/011 Caraustar/done/Caraustar Ft Gillem 4 30 17 payment.xls
Fort Gillem,3/23/2017,11,[ 935 ]  FREIGHT OUT CHARGEBACK,0,0,,164131,137431,2159997,,baled_pmt_detail/Caraustar/011 Caraustar/done/Caraustar Ft Gillem 4 30 17 payment.xls
Fort Gillem,3/23/2017,11,[ 902 ]  FREIGHT IN CHARGEBACK,0,0,,164131,300099962,,,baled_pmt_detail/Caraustar/011 Caraustar/done/Caraustar Ft Gillem 4 30 17 payment.xls
Fort Gillem,3/23/2017,11,[ 908 ]  DISPOSAL,0,0,,164131,300099962,,,baled_pmt_detail/Caraustar/011 Caraustar/done/Caraustar Ft Gillem 4 30 17 payment.xls
Fort Gillem,3/24/2017,11,[ 935 ]  FREIGHT OUT CHARGEBACK,0,0,,164131,137249,AU03178651,,baled_pmt_detail/Caraustar/011 Caraustar/done/Caraustar Ft Gillem 4 30 17 payment.xls
Fort Gillem,3/24/2017,11,[ 935 ]  FREIGHT OUT CHARGEBACK,0,0,,164131,137300,AU03178901,,baled_pmt_detail/Caraustar/011 Caraustar/done/Caraustar Ft Gillem 4 30 17 payment.xls
Fort Gillem,3/24/2017,11,[ 935 ]  FREIGHT OUT CHARGEBACK,0,0,,164131,137303,AU03178904,,baled_pmt_detail/Caraustar/011 Caraustar/done/Caraustar Ft Gillem 4 30 17 payment.xls
Fort Gillem,3/25/2017,11,[ 935 ]  FREIGHT OUT CHARGEBACK,0,0,,164131,137283,AU03178768,,baled_pmt_detail/Caraustar/011 Caraustar/done/Caraustar Ft Gillem 4 30 17 payment.xls
Fort Gillem,3/27/2017,11,[ 935 ]  FREIGHT OUT CHARGEBACK,0,0,,164131,137304,AU03178905,,baled_pmt_detail/Caraustar/011 Caraustar/done/Caraustar Ft Gillem 4 30 17 payment.xls
